Title,Category,Sub Category,Price,Quantity,Images
"Logitech G Cloud Handheld Portable Gaming Console with Long-Battery Life, 1080P 7-Inch Touchscreen, Lightweight Design, Xbox Cloud Gaming, NVIDIA GeForce NOW",Electronics,Home entertainment systems,289.65,1636,"https://m.media-amazon.com/images/I/31RcRnLguUL._SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/716QVvfeNvL._SX522_.jpg, https://m.media-amazon.com/images/I/81FArSr8hhL._SX522_.jpg, https://m.media-amazon.com/images/I/71LZthlf2AL._SX522_.jpg, https://m.media-amazon.com/images/I/81Ri6NSpC5L._SX522_.jpg, https://m.media-amazon.com/images/I/81LDSTmnVxL._SX522_.jpg"
"Assassin's Creed® Mirage Launch Edition, Xbox X",Electronics,Home entertainment systems,39.88,1563,"https://m.media-amazon.com/images/I/51kVAsysN5L._SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71uL82DGBEL._SX522_.jpg, https://m.media-amazon.com/images/I/71SvvrXlmVL._SX522_.jpg, https://m.media-amazon.com/images/I/71Izrn4bUxL._SX522_.jpg, https://m.media-amazon.com/images/I/716Pvr50YWL._SX522_.jpg, https://m.media-amazon.com/images/I/71SIUPc8lcL._SX522_.jpg"
Xbox Amazon Fire TV Stick 4K with Pulse Red Core Wireless Controller Bundle + Free Month of Game Pass for New Members,Electronics,Home entertainment systems,76.65,3621,https://m.media-amazon.com/images/I/61J3kXRQQVL._SX522_.jpg
Racing Wheel Overdrive Designed for Xbox Series X|S By HORI - Officially Licensed by Microsoft,Electronics,Home entertainment systems,106.99,2664,"https://m.media-amazon.com/images/I/41ZODQ+9w2L._SX342_SY445_.jpg, https://m.media-amazon.com/images/I/61xfqhdO8BL._SX522_.jpg, https://m.media-amazon.com/images/I/717e8QVM3jL._SX522_.jpg, https://m.media-amazon.com/images/I/71mLQKNbnuL._SX522_.jpg, https://m.media-amazon.com/images/I/61mYqpqQJIL._SX522_.jpg"
"PowerA Wired Controller For Xbox Series X|S - Black, Gamepad, Video Game Controller Works with Xbox One",Electronics,Home entertainment systems,21.19,462,"https://m.media-amazon.com/images/I/41ohVBeWQHL._SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71XNX1uaQsL._SX522_.jpg, https://m.media-amazon.com/images/I/71Im6M3derL._SX522_.jpg, https://m.media-amazon.com/images/I/71L2HzbjkgL._SX522_.jpg, https://m.media-amazon.com/images/I/71NcWLEBWFL._SX522_.jpg, https://m.media-amazon.com/images/I/711NBUwP52L._SX522_.jpg"
"Lenovo IdeaPad 1 Laptop, 15.6” FHD Display, AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, Windows 11 Home, 720p Camera w/Privacy Shutter, Smart Noise Cancelling",Electronics,Laptops and computers,301.94,362,"https://m.media-amazon.com/images/I/51h3oOo7XnL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/51mQB+DY-1L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61rHsFXiEOL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41OypMkhssL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/41A42FuekNL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/516I7ubkZPL._AC_SX466_.jpg"
"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, ",Electronics,Laptops and computers,269.99,362,"https://m.media-amazon.com/images/I/711OHeRmEaL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/61fn0xreauS._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71TWePvkAbL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71w7d0qIcuL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61hRnfJKCqL._AC_SX466_.jpg"
"Dell Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM,",Electronics,Laptops and computers,316.62,564,"https://m.media-amazon.com/images/I/71gbrvRJI-L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/715LBvCan5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51KzNYJIVKL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51B6AYSgQEL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41VqetrFiLL._AC_SX679_.jpg"
"HP Newest Pavilion 15.6"" HD Touchscreen Anti-Glare Laptop, 16GB RAM, 1TB SSD Storage, Intel Core Processor up to 4.1GHz, Up to 11 Hours Long Battery Life",Electronics,Laptops and computers,428.99,865,"https://m.media-amazon.com/images/I/71aTEZOda0L.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71aTEZOda0L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81ieX-h+UjL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71WltMQEbGL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81RXwYpBmcL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IqzSs7oHL._AC_SX466_.jpg"
"HP 15.6"" Diagonal Full HD (1920 x 1080) Laptop, 11th Gen Intel Core i5-1135G7 Processor, 8GB DDR4 RAM, 256GB SSD, 802.11ac, Bluetooth, HDMI, Windows 11",Electronics,Laptops and computers,392,769,"https://m.media-amazon.com/images/I/61lf6OAhnLL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71FlMGjfm5L._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71HAEhutCdL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/71vSioRwjjL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/717Tl6KJDYL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/717Tl6KJDYL._AC_SX679_.jpg"
